vOTUs,W-G-1,W-G-2,W-G-3,W-W-1,W-W-2,W-W-3,Y-G-1,Y-G-2,Y-G-3,Y-W-1,Y-W-2,Y-W-3
Y-W-1__113401,0,0,0,0,0,0,0,0,0,629.673827,0,0
Y-W-1__113417,0,0,0,0,0,0,0,0,0,6.408647,0.816276,0.784037
Y-W-1__113420,3.754768,0,1.024897,0,0,0,0,0,0,4.887125,0,2.433338
Y-W-1__113463,0.219541,0,0.639206,0,0,0,0,0,0,13.073506,5.339898,3.794051
Y-W-1__113534,0.676048,0,0.984177,0,0,0,2.708825,6.018707,2.008976,6.517993,2.703047,12.404485
Y-W-1__113548,0,0,0,0,0,0,0,0,0,4.220328,0,0
Y-W-1__113567,11.334059,0.548474,0,0,0,0,0,0,0,1.915089,0.468797,0
Y-W-1__113602,4.695043,0,6.777027,3.31527,0,25.714185,47.062777,78.731127,20.06658,16.328405,8.11342,25.365367
Y-W-1__113603,0,0,0,0,0,0,0,0,0,14.060652,0,0
Y-W-1__11362,4.35967,0,4.424827,0,0,0,0,0,0,4.638603,6.015027,26.764964
Y-W-1__113636,0,0,0,0,0,0,0,0,0,14.305219,7.886393,0.113058
Y-W-1__113668,4.184537,0,0,0,0,0,0,0,0,12.510176,264.88011,0.491947
Y-W-1__113675,6.360187,0.778397,37.628283,0,0,0,0,0,0,5.511305,6.209648,0
Y-W-1__113686,0,0,0,0,0,0,0,0,0,5.609025,0,0
Y-W-1__11381,0,0,0,0,0,0,0,0,0,6.027039,0,0
Y-W-1__113838,0,0,0,0,0,0,0,0,0,7.712172,0,0
Y-W-1__113844,0.623407,0,0,0,0,0,0,0,0,12.537137,0.872401,0.718239
Y-W-1__113874,0,0,0,0,0,0,0,0,0,3.243271,4.445978,0.610054
Y-W-1__113896,0,0,0,0,0,0,0,0.772406,0.529453,5.488796,0.110813,0
Y-W-1__113953,0,0,0,0,0,0,0,0,0,9.858479,0,0
Y-W-1__113954,0.036471,0,0.15928,0,0,0,0,0,0,10.052339,0,0
Y-W-1__114020,0,0,0,0,0,0,0,0,0,9.570173,0,0
Y-W-1__114044,0,0,0,0,0,0,0,0,0,2.847233,0,3.780425
Y-W-1__11405,0,0,1.332773,1.027366,0.670375,2.305187,0.933748,23.195213,1.695932,7.986487,0.776463,0
Y-W-1__114067,0.114263,0,0.249513,0,0,0,0,0,0,4.25754,5.996271,87.653241
Y-W-1__114109,0,0,0,0,0,0,0,0,0,4.430408,3.735588,2.31487
Y-W-1__114133,0,0,0,0,0,0,0,0,0,5.359221,0,0
Y-W-1__11414,0,0,0,0,0,0,0.391743,7.947218,0,13.057991,0.162878,0
Y-W-1__11417,0,0,0,0,0,0,0,0,0,51.128764,0,0
Y-W-1__114177,0,0,0,0,0,0,0,0,0,5.967405,0,0
Y-W-1__114189,0,0,0,45.675415,62.138605,8.164481,0,0,0,1.520435,0,3.485523
Y-W-1__11419,0,0,0,0,0,0,0,0,0,4.063618,3.226179,2.065839
Y-W-1__114198,0,0,0,0,0,0,0,0,0,9.450452,3.222631,3.80286
Y-W-1__11421,7.916967,0.321728,8.4104,0,0,0,0,0,0,9.20537,15.705018,43.610737
Y-W-1__114219,0,0,0,0,0,0,0,0,0,44.414114,4.251306,0.133882
Y-W-1__114314,0,0.177122,1.874128,0,0,0,3.883901,2.638123,0.096444,9.019064,0,0
Y-W-1__114344,0,0,0,0,0,0,0,0,0,4.335374,0.875268,0.16814
Y-W-1__11435,34.517967,0,173.546837,0,0,17.990314,0,0,0,99.958061,50.920291,22.049209
Y-W-1__11436,0.131277,0,0.286666,0,0,0,0,0,0,6.075287,0,7.730384
Y-W-1__114365,0.187562,0,0,0,0,0,0,0,0,14.099265,0.170438,2.095448
Y-W-1__114368,0.045042,0,2.065474,0,0,0,0,0,0,13.334343,7.743872,2.854125
Y-W-1__114402,0,0,0,0,0,0,0,0,0,83.649062,0,0
Y-W-1__114420,0,0,0,0,0,0,0,0,0,5.229062,2.178773,1.116118
Y-W-1__114437,0,0,0,0,0,0,0,4.444908,0.464274,10.606184,2.429289,0
Y-W-1__114472,0,0,0.075795,0,0,0,0.751017,0.362756,0.530462,57.685531,0,3.132533
