,long,lat,nifA,nifD,nifE,nifEN,nifH,nifK,nifL,nifM,nifN,nifU,nifZ,anfK,vnfH,radius,LN
104,-3.890329,38.622167,1,0,1,0,1,1,0,0,1,1,0,0,1,7,2.945910149
105,31.244772,48.97308,1,0,0,0,1,0,0,0,0,0,0,0,1,3,2.098612289
106,32.339143,1.349029,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
107,34.880358,31.019316,1,1,0,0,1,1,0,0,1,0,0,0,1,6,2.791759469
108,34.913677,-6.298645,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
109,34.993787,40.130577,1,0,1,0,1,1,0,0,1,0,0,1,1,7,2.945910149
110,35.495453,33.896188,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
111,35.927352,30.598547,1,0,0,0,1,1,0,0,0,1,0,0,0,4,2.386294361
112,36.815003,-1.268525,1,0,0,0,1,1,0,0,1,0,0,0,1,5,2.609437912
113,37.690899,55.756636,1,1,1,1,1,1,1,1,1,1,0,1,1,12,3.48490665
114,38.347751,16.414849,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
115,39.024411,34.812034,1,0,1,0,1,1,0,0,0,0,0,0,0,4,2.386294361
116,39.527235,8.616774,1,0,1,0,1,1,0,0,1,1,0,0,0,6,2.791759469
117,-4.072385,5.420682,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
118,4.222091,43.932237,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
119,-42.920692,46.503284,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.098612289
120,43.002197,33.079942,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.098612289
121,43.251662,-11.70727,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
122,43.321822,42.31114,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
123,43.534249,22.094292,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
124,-43.537122,74.019037,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
125,44.521081,40.238082,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1.693147181
